continent,date,iso_code,location,month,new_vaccinations,new_vaccinations_smoothed,people_fully_vaccinated,people_vaccinated,total_vaccinations
North America,2021-05-01,BRB,Barbados,5,16939.0,2633.0,16549.0,74608.0,91157.0
Africa,2021-05-01,SYC,Seychelles,5,0.0,747.0,0.0,0.0,0.0
Asia,2021-05-01,AZE,Azerbaijan,5,16988.0,13246.0,533683.0,971523.0,1505206.0
Africa,2021-05-01,GAB,Gabon,5,0.0,266.0,0.0,0.0,0.0
Asia,2021-05-01,MYS,Malaysia,5,0.0,20589.0,550876.0,883661.0,1434537.0
Africa,2021-05-01,AGO,Angola,5,0.0,8959.0,0.0,0.0,0.0
Africa,2021-05-01,GHA,Ghana,5,0.0,226.0,0.0,0.0,0.0
Asia,2021-05-01,NPL,Nepal,5,0.0,30619.0,0.0,0.0,0.0
Africa,2021-05-01,SWZ,Eswatini,5,0.0,113.0,0.0,0.0,0.0
Africa,2021-05-01,ZAF,South Africa,5,1014.0,3142.0,318670.0,318670.0,318670.0
Europe,2021-05-01,IRL,Ireland,5,19109.0,29448.0,445326.0,1146562.0,1591888.0
North America,2021-05-01,CUW,Curacao,5,1803.0,1926.0,24641.0,72855.0,97496.0
Asia,2021-05-01,SGP,Singapore,5,0.0,41975.0,0.0,0.0,0.0
Asia,2021-05-01,KWT,Kuwait,5,0.0,37810.0,0.0,0.0,0.0
Europe,2021-05-01,MDA,Moldova,5,0.0,3764.0,0.0,0.0,0.0
Europe,2021-05-01,FIN,Finland,5,30178.0,28995.0,168614.0,1692571.0,1861185.0
Asia,2021-05-01,UZB,Uzbekistan,5,0.0,35647.0,0.0,0.0,0.0
Asia,2021-05-01,TLS,Timor,5,0.0,1472.0,0.0,0.0,0.0
Europe,2021-05-01,POL,Poland,5,0.0,238603.0,2959722.0,8917338.0,11877060.0
Europe,2021-05-01,LIE,Liechtenstein,5,0.0,220.0,4183.0,8815.0,12998.0
South America,2021-05-01,CHL,Chile,5,2253.0,111319.0,6742307.0,8141355.0,14883662.0
