continent,date,iso_code,location,month,new_vaccinations,new_vaccinations_smoothed,people_fully_vaccinated,people_vaccinated,total_vaccinations
North America,2021-04-30 00:00:00,CYM,Cayman Islands,4,0.0,213.0,29920.0,35774.0,65694.0
North America,2021-04-30 00:00:00,PAN,Panama,4,687.0,11006.0,190781.0,0.0,672846.0
Asia,2021-04-30 00:00:00,ARE,United Arab Emirates,4,0.0,54929.0,0.0,0.0,0.0
Africa,2021-04-30 00:00:00,TGO,Togo,4,0.0,3453.0,0.0,0.0,0.0
Europe,2021-04-30 00:00:00,PRT,Portugal,4,80807.0,58226.0,884853.0,2421740.0,3306615.0
Africa,2021-04-30 00:00:00,NGA,Nigeria,4,0.0,7621.0,0.0,0.0,0.0
Asia,2021-04-30 00:00:00,CHN,China,4,11601000.0,6997143.0,0.0,0.0,265064000.0
Europe,2021-04-30 00:00:00,CZE,Czechia,4,69898.0,53723.0,1011352.0,2169740.0,3174864.0
Africa,2021-04-30 00:00:00,SSD,South Sudan,4,0.0,167.0,0.0,0.0,0.0
Europe,2021-04-30 00:00:00,FRO,Faeroe Islands,4,0.0,579.0,0.0,0.0,0.0
Oceania,2021-04-30 00:00:00,NCL,New Caledonia,4,0.0,1075.0,0.0,0.0,0.0
North America,2021-04-30 00:00:00,ABW,Aruba,4,1019.0,1274.0,22559.0,54306.0,76865.0
Asia,2021-04-30 00:00:00,TUR,Turkey,4,248719.0,275638.0,9104637.0,13712254.0,22816891.0
Oceania,2021-04-30 00:00:00,AUS,Australia,4,67259.0,46278.0,0.0,0.0,2179544.0
Africa,2021-04-30 00:00:00,STP,Sao Tome and Principe,4,0.0,53.0,0.0,0.0,0.0
Europe,2021-04-30 00:00:00,HRV,Croatia,4,28394.0,18700.0,198650.0,702470.0,901120.0
Africa,2021-04-30 00:00:00,GMB,Gambia,4,0.0,331.0,0.0,0.0,0.0
Africa,2021-04-30 00:00:00,MRT,Mauritania,4,0.0,411.0,0.0,0.0,0.0
Asia,2021-04-30 00:00:00,IND,India,4,2729335.0,2442854.0,26621155.0,125376952.0,151998107.0
Europe,2021-04-30 00:00:00,IRL,Ireland,4,0.0,30408.0,441821.0,1130958.0,1572779.0
Europe,2021-04-30 00:00:00,CHE,Switzerland,4,59541.0,52956.0,953946.0,1824433.0,2778379.0
Europe,2021-04-30 00:00:00,RUS,Russia,4,310531.0,328367.0,7534622.0,12299770.0,19834392.0
Oceania,2021-04-30 00:00:00,TON,Tonga,4,0.0,700.0,0.0,0.0,0.0
Asia,2021-04-30 00:00:00,GEO,Georgia,4,2616.0,2358.0,6064.0,45338.0,51402.0
Oceania,2021-04-30 00:00:00,NZL,New Zealand,4,13373.0,8009.0,73775.0,201763.0,275538.0
Asia,2021-04-30 00:00:00,OMN,Oman,4,0.0,2003.0,0.0,0.0,0.0
Europe,2021-04-30 00:00:00,DNK,Denmark,4,17367.0,33718.0,649041.0,1342552.0,1991593.0
Europe,2021-04-30 00:00:00,BGR,Bulgaria,4,12287.0,14075.0,213354.0,602109.0,815463.0
North America,2021-04-30 00:00:00,GRL,Greenland,4,0.0,184.0,0.0,0.0,0.0
Asia,2021-04-30 00:00:00,KOR,South Korea,4,299664.0,180020.0,228399.0,3326003.0,3554402.0
Europe,2021-04-30 00:00:00,DEU,Germany,4,800531.0,675683.0,6554302.0,23173225.0,29721497.0
Asia,2021-04-30 00:00:00,JPN,Japan,4,0.0,137645.0,0.0,0.0,0.0
North America,2021-04-30 00:00:00,DMA,Dominica,4,0.0,700.0,0.0,0.0,0.0
Africa,2021-04-30 00:00:00,MLI,Mali,4,0.0,1813.0,0.0,0.0,0.0
Europe,2021-04-30 00:00:00,ROU,Romania,4,78612.0,82147.0,1937033.0,3303419.0,5240452.0
North America,2021-04-30 00:00:00,BMU,Bermuda,4,0.0,436.0,0.0,0.0,0.0
Asia,2021-04-30 00:00:00,MDV,Maldives,4,0.0,5388.0,0.0,0.0,0.0
North America,2021-04-30 00:00:00,BLZ,Belize,4,0.0,536.0,0.0,0.0,0.0
South America,2021-04-30 00:00:00,GUY,Guyana,4,0.0,3412.0,0.0,0.0,0.0
Europe,2021-04-30 00:00:00,ALB,Albania,4,23655.0,12222.0,0.0,0.0,476903.0
Europe,2021-04-30 00:00:00,CYP,Cyprus,4,0.0,6444.0,0.0,0.0,0.0
North America,2021-04-30 00:00:00,MEX,Mexico,4,361199.0,266503.0,7440439.0,12477933.0,18080005.0
